Evaluation Approach / Metric,Appropriate Data Types,Mathematic Definition (if applicable),ArcPy function (if applicable),How to do in python,What metrics is this approach similar / different to?,Source1,Source2,Source3
Confusion Matrix,Binary/Categorical,N/A,"arcpy.gp.ComputeConfusionMatrix(in_accuracy_assessment_points, out_confusion_matrix)","sklearn.metrics.confusion_matrix(actual, predicted)","Utilized for calculating precision, recall, accuracy, true positives, and false positives",https://www.w3schools.com/python/python_ml_confusion_matrix.asp, https://pro.arcgis.com/en/pro-app/latest/tool-reference/spatial-analyst/compute-confusion-matrix.htm,
Accuracy,Binary/Categorical,Accuracy (all correct / all) = TP + TN / TP + TN + FP + FN,N/A,"sklearn.metrics.accuracy_score(y_true, y_pred)",Examining both diagonal and total elements within a confusion matrix,https://towardsdatascience.com/taking-the-confusion-out-of-confusion-matrices-c1ce054b3d3e,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.accuracy_score.html,
Precision,Binary/Categorical,Precision = (True Positive)/(True Positive + False Positive),N/A,"sklearn.metrics.precision_score(y_true, y_pred)",Equation based on true and false positive and confusion matrix,https://pro.arcgis.com/en/pro-app/latest/tool-reference/image-analyst/how-compute-accuracy-for-object-detection-works.htm,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.precision_score.html,
Recall,Binary/Categorical,Recall = (True Positive)/(True Positive + False Negative),N/A,"sklearn.metrics.recall_score(y_true, y_pred)","Formula derived from true positives, false positives, and the confusion matrix.",https://pro.arcgis.com/en/pro-app/latest/tool-reference/image-analyst/how-compute-accuracy-for-object-detection-works.htm,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.recall_score.html,
True Positives,Binary/Categorical,Predicts there is an object; correct,N/A,"confusion_matrix[1, 1]",Associated with cells in the Confusion Matrix.,https://pro.arcgis.com/en/pro-app/latest/tool-reference/image-analyst/how-compute-accuracy-for-object-detection-works.htm,CHATGPT,
False Position,Binary/Categorical,Predicts there is an object; incorrect,N/A,"confusion_matrix[0, 1]",Linked to specific cells within the Confusion Matrix.,https://pro.arcgis.com/en/pro-app/latest/tool-reference/image-analyst/how-compute-accuracy-for-object-detection-works.htm,CHATGPT,
Receiver Operator Characteristic (ROC) Curve and Area Under the Curve,Binary/Categorical,N/A (integral),N/A,"sklearn.metrics.roc_curve(y_true, y_score)",True / False Positive,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.roc_curve.html,,
R-squared,Continuous,R^2 = 1 - (∑(yi - y_hati)^2) / ∑(yi - y_bar)^2,N/A,"sklearn.metrics.r2_score(y_true, y_pred)","Utilized in computing RMSE, MAE, and RSE",https://www.ncl.ac.uk/webtemplate/ask-assets/external/maths-resources/statistics/regression-and-correlation/coefficient-of-determination-r-squared.html,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.r2_score.html,
Adjusted R-Squared,Continuous,Adj. R^2 = 1 - [(1-R^2)*(n-1)/(n-k-1)],N/A,"1 - (1-model.score(X, y))*(len(y)-1)/(len(y)-X.shape[1]-1)",R Squared,https://www.statology.org/adjusted-r-squared-in-python/,https://www.statology.org/adjusted-r-squared-in-python/,
Root Mean Square Error,Continuous,RMSE = √[(1/n)∑(yi - y_hat)^2],N/A,"sqrt( sklearn.metrics.mean_squared_error(y_true, y_pred,) )",R Squared,CHATGPT,https://www.statisticshowto.com/probability-and-statistics/regression-analysis/rmse-root-mean-square-error/,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.mean_squared_error.html
Mean Absolute Error,Continuous,MAE = ∑(|yi - y_hati|) / n,N/A,"sklearn.metrics.mean_absolute_error(y_true, y_pred)",R Squared,https://gisgeography.com/mean-absolute-error-mae-gis/,CHATGPT,https://scikit-learn.org/stable/modules/generated/sklearn.metrics.mean_absolute_error.html
Residual Standard Error,Continuous,RSE = √[∑(y - y_hat)^2 / DoF],N/A,numpy.sqrt(sklearn.metrics.mean_squared_error()),R Squared,https://www.statology.org/how-to-interpret-residual-standard-error/,https://www.statology.org/how-to-interpret-residual-standard-error/,https://campus.datacamp.com/courses/introduction-to-regression-with-statsmodels-in-python/assessing-model-fit-e78fd9fe-6303-4048-8748-33b19c4222fe?ex=3
Akaike’s Information Criterion (AIC),Continuous,AIC = − 2max(log L) + 2np,N/A,"statsmodels.tools.eval_measures.aic(llf, nobs, df_modelwc)","Connected to RMSE, MSE, and MAE","https://www.sciencedirect.com/topics/mathematics/akaike-information-criterion#:~:text=The%20AIC%20is%20defined%20in,%28log%20L%29%20%2B%202np",https://www.statsmodels.org/stable/generated/statsmodels.tools.eval_measures.aic.html,
Bayesian Information Criterion (BIC),Continuous," BIC = -2 * loglikelihood + d * log(N),",N/A,"statsmodels.tools.eval_measures.bic(llf, nobs, df_modelwc)","Connected to RMSE, MSE, and MAE",https://stanfordphd.com/BIC.html,https://www.statsmodels.org/dev/generated/statsmodels.tools.eval_measures.bic.html,
